mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,param_selector__k,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
5.700884660085042,0.17914327348059336,0.14640037218729654,0.006316407348858662,10,0.5,5,8,300,60,"{'model__max_depth': 10, 'model__max_features': 0.5, 'model__min_samples_leaf': 5, 'model__min_samples_split': 8, 'model__n_estimators': 300, 'selector__k': 60}",0.5743582054040928,0.5766811783088859,0.5708003716650788,0.5739465851260191,0.0024184078971439624,44
8.803852876027426,0.10489206358224251,0.15205017725626627,0.008473066901405032,10,0.5,5,8,300,100,"{'model__max_depth': 10, 'model__max_features': 0.5, 'model__min_samples_leaf': 5, 'model__min_samples_split': 8, 'model__n_estimators': 300, 'selector__k': 100}",0.5828353457409745,0.5838083304596728,0.5743642436337117,0.5803359732781197,0.00424129233647251,19
2.690428892771403,0.067743870779214,0.12565112113952637,0.00447307353983733,20,sqrt,2,4,200,60,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 200, 'selector__k': 60}",0.5769723604786614,0.578507382666012,0.5787817037400869,0.5780871489615867,0.000796190108859118,32
3.402964433034261,0.010546803057552982,0.1542825698852539,0.003323397200527031,20,sqrt,2,4,200,100,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 200, 'selector__k': 100}",0.5819611929797928,0.5819849174361647,0.582691779988052,0.5822126301346698,0.0003389485201370727,11
3.936413288116455,0.08815359229877266,0.1677421728769938,0.0032071905640313264,20,sqrt,2,4,300,60,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 300, 'selector__k': 60}",0.5780671288305043,0.5795411955779319,0.5774270684262898,0.5783451309449087,0.0008851919886057252,31
5.0991465250651045,0.0612069916776962,0.19403179486592612,0.006589817866223895,20,sqrt,2,4,300,100,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 300, 'selector__k': 100}",0.5817222498948187,0.5834295908168311,0.5812774403337739,0.5821430936818079,0.0009276385952932215,12
2.6781152884165444,0.04734075362964064,0.12987939516703287,0.005566010521101532,20,sqrt,2,8,200,60,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 200, 'selector__k': 60}",0.5799824151818788,0.5826275586599645,0.5771046961104448,0.5799048899840961,0.002255365499195244,25
3.3316292762756348,0.023286990578055482,0.15512402852376303,0.011887743714606352,20,sqrt,2,8,200,100,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 200, 'selector__k': 100}",0.5821366098364165,0.5820509162621844,0.5826498415539435,0.582279122550848,0.0002644620724013033,10
3.9081974029541016,0.08081337272487767,0.163236935933431,0.01662883974117573,20,sqrt,2,8,300,60,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 300, 'selector__k': 60}",0.5790148007018523,0.5818971411769802,0.5781589910931281,0.5796903109906535,0.0015990991474490023,26
5.014466683069865,0.08340278767046813,0.1919865608215332,0.010811008487304626,20,sqrt,2,8,300,100,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 300, 'selector__k': 100}",0.5815844944922208,0.5825030441153548,0.5838699973613177,0.5826525119896312,0.000939019462078414,9
