customer_unique_id,n_relevant_test_items,n_recommended,hit_at_k,recall_at_k,mrr_at_k,ndcg_at_k
ee2c658af2a4b5ecdca87c7897b79026,1,10,0,0.0,0.0,0.0
816b6a32903cb4376b7022e10d5aae9e,1,10,0,0.0,0.0,0.0
9b82602fc3e9a153752f16553752d58d,1,10,0,0.0,0.0,0.0
1118bbd6c82a824ebc677b12e525864f,1,10,0,0.0,0.0,0.0
610d3e47ad4921adc40aa9fd6bbeeaa5,2,10,0,0.0,0.0,0.0
b6216e2929abf9261e14d2e40f9a4d17,1,10,0,0.0,0.0,0.0
b410d7fd96e7ff12af1d2f87aae875a8,1,10,0,0.0,0.0,0.0
09831ff6ab667f42521bcd4c22dc755c,1,10,0,0.0,0.0,0.0
f31ac54af6af7097bddd1053011e7a3a,1,10,0,0.0,0.0,0.0
3e5a237352ac4b53e1281b9b62efcbcc,1,10,0,0.0,0.0,0.0
a38b9fe75865c4716f17f8f5cb8e7a6d,2,10,0,0.0,0.0,0.0
c8bd06c47119f3cde6606b5e829bd861,1,10,0,0.0,0.0,0.0
d4e365482617be6d91e1271aa793b3c2,2,10,0,0.0,0.0,0.0
2bfb41d07316202af02dd28b825028d0,1,10,0,0.0,0.0,0.0
73f543ac7cc557af011be584a4dde8af,2,10,0,0.0,0.0,0.0
c35716befca4818c7b68a67eb22b6dee,1,10,0,0.0,0.0,0.0
f435be2fc1336c5bd3bf67a394388bfd,1,10,0,0.0,0.0,0.0
313c1c4670538126790f08b10b05058e,1,10,0,0.0,0.0,0.0
dd9b235dbe7d48c82caca4da097a2240,1,10,0,0.0,0.0,0.0
c25d2fb6d22e04ce43c3652e3cacadad,1,10,1,1.0,1.0,1.0
f94be6793b2753d7cae83ebcd73efcc8,1,10,0,0.0,0.0,0.0
edf6a00a60c87f3c34e79120133fe44c,2,10,0,0.0,0.0,0.0
8d174d46566bd4824dea80be4d00a2ce,2,10,0,0.0,0.0,0.0
bb8de63c9f7b07330e2be9741068561c,1,10,0,0.0,0.0,0.0
ae4040757eb5b3be43a7c0ea27260d50,1,10,0,0.0,0.0,0.0
e325e139452a1ca05f5a33acedd7d94f,1,10,0,0.0,0.0,0.0
ba7674c3d15d5a0b9fa46c862925efd5,1,10,0,0.0,0.0,0.0
0f236e51bb703ddf0e311f3520600065,1,10,0,0.0,0.0,0.0
bcca9404e66ecba9714e6eb9343d2054,1,10,0,0.0,0.0,0.0
ea5386878274082051c5746cbc6e3087,2,10,0,0.0,0.0,0.0
ad155bc0931cb6bab63d4ff2515c3159,1,10,0,0.0,0.0,0.0
139093b1c6e7e3108ac0469ce43bfb99,1,10,0,0.0,0.0,0.0
3d4cd13fd525234c1c4a2304fbe769e0,1,10,0,0.0,0.0,0.0
d3d376410e215ee0e6a3dd23b3c1fd95,1,10,0,0.0,0.0,0.0
b6bb8e4780df00a25fa34335d3dc1330,1,10,0,0.0,0.0,0.0
df76d1efc22b15300619dd981a0c3d1c,1,10,0,0.0,0.0,0.0
1f642a984771461accb55dcfe92e5546,1,10,0,0.0,0.0,0.0
4e7d90791af7ac2024f8b978fa4fc095,1,10,0,0.0,0.0,0.0
159cbfe771924d126a695656c271e385,1,10,0,0.0,0.0,0.0
5692f45005b99d929b723b96408957ec,1,10,0,0.0,0.0,0.0
f8baafbeeee68555e4ed9243728815ba,1,10,0,0.0,0.0,0.0
58812bfc80ed972fa2e7f3614c0cd22e,1,10,0,0.0,0.0,0.0
9a2344afe2d1a43559906bd456567a9b,1,10,0,0.0,0.0,0.0
da4aab0d8d3e91a21cb28a1cdd79c6ac,1,10,0,0.0,0.0,0.0
3fdd5f758dedbccffc537354946aa3b6,1,10,0,0.0,0.0,0.0
cfe96f24bd8c36325e0d92e44324cf66,1,10,0,0.0,0.0,0.0
4681829483318507ed55682649de6571,1,10,0,0.0,0.0,0.0
9ed4f2771274a984af927b83258e68fe,1,10,0,0.0,0.0,0.0
7e82fd8a6c26147a8797d761fa68c497,1,10,0,0.0,0.0,0.0
f4af0b3f627879bf6801db96949b1e71,1,10,0,0.0,0.0,0.0
b1e12d161a96fad9fd17d98cb73e619e,1,10,0,0.0,0.0,0.0
731a127666e5bc79810ebdc48eeff385,1,10,0,0.0,0.0,0.0
f71f43f5a8dc56beb6ebdabf0d82e802,1,10,0,0.0,0.0,0.0
bd859b24955ed06b0605a79f60ef34f9,1,10,0,0.0,0.0,0.0
424240fab0548ed808dcde95ea7e1661,1,10,0,0.0,0.0,0.0
8cef958341c4de7f7c982a729d3992d7,1,10,0,0.0,0.0,0.0
4755e6cf97a25760ab159e0457c84a29,1,10,0,0.0,0.0,0.0
7e050832e2248c400621f6b22315d4bb,1,10,0,0.0,0.0,0.0
aaad6d68de5490cba508e4203ddc87de,1,10,0,0.0,0.0,0.0
63669b3731dcc014feec668c3d888aa0,1,10,0,0.0,0.0,0.0
8190d0cbc8a4e51b3d707505a79a9f6e,1,10,0,0.0,0.0,0.0
894fa561f54fa10de0bc4db8b581947e,1,10,0,0.0,0.0,0.0
fbacf55907cfeeab0f1cb05ac31c429e,1,10,0,0.0,0.0,0.0
6a41171c962a6356e8ea95518821dd45,1,10,0,0.0,0.0,0.0
af0c56271f45797ea6bcb96de7de9a8e,1,10,0,0.0,0.0,0.0
a68ad412c53f45ccc69644d62568224f,1,10,0,0.0,0.0,0.0
76a0491dd70c125840fa259f00dfc351,2,10,0,0.0,0.0,0.0
a231b02134665d0d59438a0008e6e082,1,10,0,0.0,0.0,0.0
f64075e7fa628bdc6c3e7c3108d7c624,1,10,0,0.0,0.0,0.0
f216de65ece42736f341247dcba60ccb,1,10,0,0.0,0.0,0.0
aa158429a498b4afb75488e56032f193,1,10,0,0.0,0.0,0.0
0937f85b7a96b6ad600405e9bf94255b,1,10,0,0.0,0.0,0.0
3991c84b618da2e02b44ba48aba925d1,1,10,0,0.0,0.0,0.0
59268ee5dc0cd98a36ea808010826cc8,1,10,0,0.0,0.0,0.0
b388ef1fc20ac12fa9fb8bd448d2f961,1,10,0,0.0,0.0,0.0
699003f10173022740145aa4aaeaccd5,1,10,0,0.0,0.0,0.0
161009f7d03bf7b838c66179b0c34872,1,10,0,0.0,0.0,0.0
2aa8fc021c68c7c1e1698d29faf24820,2,10,0,0.0,0.0,0.0
2b161eaf4956b131691842e87b3c39c7,1,10,0,0.0,0.0,0.0
f5f0a44fa78dfe218749a60aef972d1c,1,10,0,0.0,0.0,0.0
ce15104baabb5bf543c7aabb9d607072,1,10,0,0.0,0.0,0.0
a9b4929689bc74b4d8764b7214a9bbc8,1,10,0,0.0,0.0,0.0
353027c49c4fb3c827f2745b44ebb3f2,1,10,0,0.0,0.0,0.0
4f928a6270233d6c7c4e73919fa12295,1,10,0,0.0,0.0,0.0
b27739502aee0eb80a4699f471027da2,1,10,1,1.0,0.1111111111111111,0.3010299956639812
159306b86e782097be9a4e29e3d294d3,2,10,0,0.0,0.0,0.0
d262a1a1abd12ead162803a7a3b00a2c,1,10,0,0.0,0.0,0.0
dbfcc5deb3b691c5e01287d8a4b1efcb,1,10,0,0.0,0.0,0.0
addc1082e059523e5ef2e7486d1d8905,1,10,0,0.0,0.0,0.0
28cfa4471fab15695744e57ce3036694,1,10,0,0.0,0.0,0.0
93eac6e21b2113a6da9ab2aaec1eefba,1,10,0,0.0,0.0,0.0
74ef2468836d147c610bc829ecd77677,1,10,0,0.0,0.0,0.0
8787cab9a95fe5a494b21e2fd1047e7f,1,10,0,0.0,0.0,0.0
f4f2d85371955b0e254ce594fcf09a0d,1,10,0,0.0,0.0,0.0
05fb25843c4048d1ce40611d11966278,1,10,0,0.0,0.0,0.0
c45d4de67afc1595e075c69f75dd9d6a,1,10,0,0.0,0.0,0.0
767d7041157e4515032f24e3634ed01e,1,10,0,0.0,0.0,0.0
d753459418d268407f19b64be28e3c5a,1,10,0,0.0,0.0,0.0
4e2134b6f89e4a041641a30e801bfbe5,1,10,0,0.0,0.0,0.0
50b1d0db3c5c87be7d767f483e520263,1,10,0,0.0,0.0,0.0
5a6b37816cefa8497b74b1ef78dbb202,1,10,0,0.0,0.0,0.0
255ac312f5ceb97163ec60f0db2eee11,1,10,0,0.0,0.0,0.0
7d834f25bc4e9c7905f9e31e1c94c51b,1,10,0,0.0,0.0,0.0
313febe2adc914a7cb3f6e903f8e13cf,1,10,0,0.0,0.0,0.0
53b30ca78efb2b7efcd3f9e461587eb2,1,10,0,0.0,0.0,0.0
113b3f090cc1df6f405ec326a1765522,1,10,0,0.0,0.0,0.0
46f15c2526277c2f9cfa6b239dfb11b3,1,10,0,0.0,0.0,0.0
7305430719d715992b00be82af4a6aa8,1,10,0,0.0,0.0,0.0
f8f6ed51ded0d4757a6153f5ce0f8906,2,10,0,0.0,0.0,0.0
68a86584e83424bd03a1af57d79c693f,1,10,0,0.0,0.0,0.0
b9746b56cf8884c9724b03900e46cf0c,1,10,0,0.0,0.0,0.0
4f4a4c713a7892d9db23f694fc647d13,1,10,0,0.0,0.0,0.0
8fe4f9a0d6a47babbd498127a9109bd1,1,10,0,0.0,0.0,0.0
891e01e2ab20f46c3e5602cd958c1ec7,1,10,0,0.0,0.0,0.0
1ab743a11d1bf7d2cec4e91697f076f9,1,10,0,0.0,0.0,0.0
c4295b913119b04f3c9d28a7bfd524f1,1,10,0,0.0,0.0,0.0
e1cf735f320c9870c2046dbbc634fcec,1,10,0,0.0,0.0,0.0
3ccc59a10bd8a1eb4613a41f34aeef5b,1,10,0,0.0,0.0,0.0
80275de537b6a389930536433e8baed3,1,10,0,0.0,0.0,0.0
d65921a138c59000aff343f8c991b896,1,10,0,0.0,0.0,0.0
c4a5dbcdc7c33758cf5efff999c6203c,1,10,0,0.0,0.0,0.0
4022d9bb079c8bd731329585eed79bac,1,10,0,0.0,0.0,0.0
7d139b4764ef2597398453664b3967a2,1,10,0,0.0,0.0,0.0
397017a63f9c38e08a205d660a5d3019,1,10,1,1.0,0.14285714285714285,0.3333333333333333
1412559410af5e92c35e053fd6acd006,1,10,0,0.0,0.0,0.0
ae8482b27b2119e2c3278f5ddf9c1024,1,10,0,0.0,0.0,0.0
c2420179b6e09b39bd84ab44ec412a51,1,10,0,0.0,0.0,0.0
f46971f1ac7b376b668114a027c98e78,1,10,0,0.0,0.0,0.0
32b21622c8c06acf5568104e449e2617,1,10,0,0.0,0.0,0.0
4d0dc4c53bbab36af36b0b6eba868d42,1,10,0,0.0,0.0,0.0
024bc6c3997170f0ca30edba8ba8aa55,1,10,0,0.0,0.0,0.0
318dd674b6e789249337a1edca1b0cc1,1,10,0,0.0,0.0,0.0
79a932ef36d3058a3bff9ed1a8d31b4c,1,10,0,0.0,0.0,0.0
e89bab624ed1d8c75012bf52bacc654c,1,10,0,0.0,0.0,0.0
4e7da8460a307b63a7a4d98750f3a95a,1,10,0,0.0,0.0,0.0
0ddba04798f1c085d0ca93af0e91f6c1,1,10,0,0.0,0.0,0.0
cc14ea7099959d91a17c9d7c3a46721d,1,10,0,0.0,0.0,0.0
90635f71a521f2261d8ce0462fa6b72d,1,10,0,0.0,0.0,0.0
7b25ab0d08d78c12d64d346bd3c8ac8b,1,10,0,0.0,0.0,0.0
d0e4d11c07a9872b5c41cd8fc63837ba,1,10,0,0.0,0.0,0.0
